NFT ID,Background trait,Background rarity %,Arms trait,Arms rarity %,Body trait,Body rarity %,Legs trait,Legs rarity %,Weapon trait,Weapon rarity %,Helmet trait,Helmet rarity %,Element trait,Element rarity %,Wings trait,Wings rarity %,Aura trait,Aura rarity %,Custom trait,Custom rarity %,1/1 trait,1/1 rarity %,Artist trait,Artist rarity %,emission_multiple,token_id,Overall Rarity %,Rank
63,SOPESGAL V2,1.35,Brawler Yukon,13.69,Orbital,7.89,Thicc,20.43,0.0,0.00,Ser,9.22,Treenium,20.09,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.060372511239564,1869
64,SOPESGAL,1.17,Ronin,14.70,Tron,13.62,Thicc,20.43,0.0,0.00,Foxtrot,3.18,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,52.119460500963385,882
65,Bar,5.46,Stellar,5.37,NexusV2,3.22,Military,19.19,Stellar EnergyV3,0.64,Foxtrot,3.18,Kushium,20.41,Fallen Angel,51.45,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,44.89402697495183,221
66,EnergyV2,5.48,Ekko,14.34,Nexus,18.26,Thicc,20.43,Ekko Spear,14.07,DonnieDarko,3.97,Avaxium,20.09,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,68.46499678869621,3707
67,Bar,5.46,Mirakle,14.16,OrbitalV2,4.85,Cybernetic,19.64,0.0,0.00,Spartan,20.90,Kushium,20.41,Angel,48.55,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,71.4354527938343,4000
68,Wires,11.84,Mirakle,14.16,Nexus,18.26,Frost,16.35,Mirakle EnergyV2,3.54,Moonbag V2,2.19,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.05138086062941,2294
69,TrippyHippy,5.37,Ronin,14.70,Cosmic,19.73,Frost,16.35,0.0,0.00,Primal,4.13,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,56.87219010918433,1634
70,City,5.46,Brawler Yukon,13.69,Classic,17.86,Frost,16.35,0.0,0.00,Ser,9.22,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.087989723827874,2094
71,Sunset,5.64,Panther,2.01,Classic,17.86,Thicc,20.43,0.0,0.00,FormicV3,0.27,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,47.43095696852922,381
72,Wiresv2,11.77,Jaeger,14.50,Nexus,18.26,Tango,7.76,0.0,0.00,Ser,9.22,Hopium,19.73,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,64.32241490044959,3122
73,ScribbleWarlock,1.26,Stellar,5.37,Classic,17.86,Tango,7.76,0.0,0.00,Gundam,2.16,Hopium,19.73,Angel,48.55,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,42.59794476557482,145
74,LabV2,5.86,Cyber,13.60,Nexus,18.26,Gundam,8.79,Cyber Axe,11.88,Ser,9.22,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,56.342324983943485,1529
75,Wiresv2,11.77,Cyber,13.60,Cosmic,19.73,Military,19.19,Cyber Axe,11.88,Toonami,9.22,Avaxium,20.09,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,75.54592164418754,4251
76,Rubble,5.39,Brawler Yukon,13.69,OrbitalV2,4.85,Military,19.19,Brawler Yukon Sword,13.30,Spartan,20.90,Treenium,20.09,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,69.21965317919076,3788
77,Energy,5.30,Brawler Yukon,13.69,Cosmic,19.73,Cybernetic,19.64,0.0,0.00,Titan,7.64,Aqium,19.59,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,67.14836223506744,3529
78,Wiresv2,11.77,Cyber,13.60,Nexus,18.26,Tango,7.76,0.0,0.00,NerdHerder,1.62,Hopium,19.73,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,57.75529865125241,1815
79,SOPESGAL V2,1.35,Cyber,13.60,Tron,13.62,Cybernetic,19.64,0.0,0.00,Spartan,20.90,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,63.166345536287736,2907
80,Wires,11.84,Molten,2.01,Tron,13.62,CyberneticV2,7.80,0.0,0.00,Moonbag V2,2.19,Hopium,19.73,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,47.19010918432884,365
81,LabV3,3.54,Brawler Yukon,13.69,Cosmic,19.73,Military,19.19,0.0,0.00,Spartan,20.90,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,69.17148362235068,3782
82,LabV5,0.99,Brawler Yukon,13.69,Nexus,18.26,Gundam,8.79,Brawler Yukon Sword,13.30,Spartan,20.90,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,61.929993577392416,2656
83,RubbleV3,5.30,Mirakle,14.16,Mystic,1.94,Cybernetic,19.64,0.0,0.00,Biker,4.13,Hopium,19.73,0.0,0.00,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,52.77777777777778,986
84,RubbleV2,5.35,Cyber,13.60,OrbitalV2,4.85,Thicc,20.43,0.0,0.00,Moonbag V2,2.19,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,47.575465639049455,390
85,EnergyV2,5.48,Jaeger,14.50,Cosmic,19.73,CyberneticV2,7.80,0.0,0.00,SerV2,1.67,Kushium,20.41,Fallen Angel,51.45,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.794476557482334,2238
86,Alley,5.07,Cyber,13.60,Mystic,1.94,CyberneticV2,7.80,0.0,0.00,Spartan,20.90,Hopium,19.73,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,49.165061014772,546
87,Wires,11.84,Jaeger,14.50,Frost,8.21,Tango,7.76,Jaeger Hammer,14.43,DroneV2,1.17,Hopium,19.73,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,48.281952472703914,461
88,Sunset,5.64,Ronin,14.70,Tron,13.62,Cybernetic,19.64,Ronin Thanos,7.64,Biker,4.13,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,56.79190751445087,1621
89,City,5.46,Brawler Yukon,13.69,Cosmic,19.73,Cybernetic,19.64,0.0,0.00,Toonami,9.22,Treenium,20.09,0.0,0.00,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,69.1072575465639,3776
90,Wires,11.84,Mirakle,14.16,Cosmic,19.73,Military,19.19,Mirakle EnergyV2,3.54,Kroxa,4.15,Avaxium,20.09,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,70.6005138086063,3922
91,Wiresv2,11.77,Brawler Yukon,13.69,NexusV2,3.22,Cybernetic,19.64,0.0,0.00,TitanV2,0.34,Hopium,19.73,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.00963391136801,1323
92,EnergyV2,5.48,Gundam,5.57,Gundam,4.42,Gundam,8.79,Gundam EnergyV2,1.06,Primal,4.13,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,34.40912010276172,22
93,Wires,11.84,Ekko,14.34,Tron,13.62,Frost,16.35,0.0,0.00,Spartan,20.90,Treenium,20.09,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,75.48169556840078,4247
94,City,5.46,Ronin,14.70,Cosmic,19.73,Military,19.19,Ronin Blade,8.70,Foxtrot,3.18,Avaxium,20.09,0.0,0.00,Void,9.71,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,64.00128452151573,3050
95,City,5.46,Ronin,14.70,Classic,17.86,Cybernetic,19.64,0.0,0.00,Spartan,20.90,Aqium,19.59,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,76.09184328837509,4278
96,Bar,5.46,Ekko,14.34,Cosmic,19.73,Gundam,8.79,Ekko Spear,14.07,Spartan,20.90,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.44187540141297,3416
97,LabV3,3.54,Brawler Yukon,13.69,Cosmic,19.73,Tango,7.76,Brawler Yukon Sword,13.30,Ser,9.22,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.73217726396918,1430
98,Wires,11.84,Ronin,14.70,Cosmic,19.73,Thicc,20.43,Ronin Blade,8.70,Formic,4.08,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.68272318561336,3458
99,LabV2,5.86,Mirakle,14.16,Nexus,18.26,CyberneticV2,7.80,0.0,0.00,DroneV2,1.17,Hopium,19.73,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,53.90173410404624,1130
100,Wires,11.84,Mirakle,14.16,Orbital,7.89,Military,19.19,Mirakle Blaster,4.46,Moonbag,2.66,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.234425176621706,1358
101,Wires,11.84,Stellar,5.37,Nexus,18.26,Frost,16.35,0.0,0.00,Spartan,20.90,Kushium,20.41,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,72.78420038535646,4107
102,Wires,11.84,Brawler,0.02,Frost,8.21,Frost,16.35,Sword,0.07,Drone,6.76,Schwockium,0.02,0.0,0.00,0.0,0.00,Schwock,25.00,0.0,0.00,0.0,0.00,-1,-1,30.79640333975594,20
103,Lab,0.88,Jaeger,14.50,Cosmic,19.73,Frost,16.35,0.0,0.00,Ser,9.22,Aqium,19.59,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,63.631984585741804,2995
104,RubbleV3,5.30,Ekko,14.34,Orbital,7.89,Frost,16.35,Ekko Spear,14.07,Toonami,9.22,Aqium,19.59,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,61.27167630057804,2531
105,Wires,11.84,Mirakle,14.16,Cosmic,19.73,Thicc,20.43,0.0,0.00,Foxtrot,3.18,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,63.68015414258189,3003
106,Wires,11.84,Brawler Yukon,13.69,Tron,13.62,Gundam,8.79,Brawler Yukon Sword,13.30,Spartan,20.90,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.34553628773283,3411
107,Sunset,5.64,Cyber,13.60,Cosmic,19.73,Cybernetic,19.64,0.0,0.00,Lord,2.91,Hopium,19.73,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,63.808606294155425,3022
108,Rubble,5.39,Brawler Yukon,13.69,Classic,17.86,Military,19.19,Brawler Yukon Sword,13.30,Biker,4.13,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.22800256904303,2330
109,RubbleV2,5.35,Cyber,13.60,Cosmic,19.73,CyberneticV2,7.80,0.0,0.00,Spartan,20.90,Kushium,20.41,Angel,48.55,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,72.86448298008992,4115
110,Wires,11.84,Cyber,13.60,Tron,13.62,Frost,16.35,0.0,0.00,Ser,9.22,Treenium,20.09,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.28131021194605,3397
111,Rubble,5.39,Ekko,14.34,Classic,17.86,Frost,16.35,Ekko Spear,14.07,DonnieDarko,3.97,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.73474630700064,2029
112,ScribbleWarlock,1.26,Ronin,14.70,Classic,17.86,Military,19.19,0.0,0.00,Moonbag V2,2.19,Hopium,19.73,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.6660244059088,2212
113,Barren,5.39,Brawler Yukon,13.69,OrbitalV2,4.85,Cybernetic,19.64,0.0,0.00,Spartan,20.90,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.211946050096344,2323
114,Wires,11.84,Cyber,13.60,Tron,13.62,Cybernetic,19.64,0.0,0.00,Primal,4.13,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.0398201669878,2082
115,RubbleV2,5.35,Ronin,14.70,OrbitalV2,4.85,Cybernetic,19.64,0.0,0.00,Foxtrot,3.18,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,48.281952472703914,462
116,Rubble,5.39,Ekko,14.34,Classic,17.86,Cybernetic,19.64,Ekko Spear,14.07,Drone,6.76,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,63.070006422607584,2892
117,Alley,5.07,Ronin,14.70,Tron,13.62,Gundam,8.79,0.0,0.00,Ser,9.22,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,50.91522157996147,730
118,Rubble,5.39,Ronin,14.70,Cosmic,19.73,Frost,16.35,Ronin Thanos,7.64,Spartan,20.90,Avaxium,20.09,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,77.39242132305716,4335
119,City,5.46,Mirakle,14.16,Classic,17.86,Thicc,20.43,0.0,0.00,Spartan,20.90,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,70.42389210019267,3907
120,LabV2,5.86,Jaeger,14.50,Cosmic,19.73,Cybernetic,19.64,0.0,0.00,Titan,7.64,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,62.50802825947335,2778
121,RubbleV2,5.35,Mirakle,14.16,Nexus,18.26,Military,19.19,0.0,0.00,Drone,6.76,Avaxium,20.09,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.15285806037251,3377
122,RubbleV2,5.35,Jaeger,14.50,Classic,17.86,CyberneticV2,7.80,0.0,0.00,Toonami,9.22,Kushium,20.41,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.4572896596018,2169
123,RubbleV3,5.30,Ekko,14.34,Gundam,4.42,Gundam,8.79,Ekko Spear,14.07,Kroxa,4.15,Aqium,19.59,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,49.454078355812456,577
124,Bar,5.46,Ronin,14.70,Orbital,7.89,Thicc,20.43,0.0,0.00,DonnieDarko,3.97,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,51.300578034682076,770
125,EnergyV2,5.48,Ekko,14.34,OrbitalV2,4.85,CyberneticV2,7.80,0.0,0.00,FormicV2,1.76,Kushium,20.41,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,45.3757225433526,247
126,Wiresv2,11.77,Molten,2.01,Nexus,18.26,Military,19.19,0.0,0.00,Biker,4.13,Hopium,19.73,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.42517662170841,2165
127,Wires,11.84,Jaeger,14.50,Classic,17.86,CyberneticV2,7.80,0.0,0.00,Spartan,20.90,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.44187540141297,3417
128,Barren,5.39,Ronin,14.70,Nexus,18.26,Frost,16.35,Ronin Thanos,7.64,Spartan,20.90,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,69.87797045600513,3847
129,Sunset,5.64,Cyber,13.60,Tron,13.62,Military,19.19,0.0,0.00,Spartan,20.90,Treenium,20.09,Fallen Angel,51.45,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,76.84649967886962,4316
130,Wiresv2,11.77,Stellar,5.37,Classic,17.86,Frost,16.35,0.0,0.00,KroxaV2,1.80,Kushium,20.41,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.333333333333336,1929
131,SOPESGAL V2,1.35,Ekko,14.34,Orbital,7.89,Cybernetic,19.64,0.0,0.00,NerdHerder,1.62,Treenium,20.09,0.0,0.00,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,52.80989081567117,993
132,EnergyV2,5.48,Cyber,13.60,Orbital,7.89,CyberneticV2,7.80,0.0,0.00,Titan,7.64,Kushium,20.41,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,50.69043031470777,707
133,TrippyHippy,5.37,Ronin,14.70,Cosmic,19.73,CyberneticV2,7.80,0.0,0.00,Ser,9.22,Hopium,19.73,0.0,0.00,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,61.078998073217726,2501
134,Energy,5.30,Stellar,5.37,Cosmic,19.73,CyberneticV2,7.80,0.0,0.00,Biker,4.13,Hopium,19.73,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,44.18754014129737,196
135,LabV2,5.86,Ekko,14.34,Orbital,7.89,Thicc,20.43,0.0,0.00,Biker,4.13,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,52.02312138728323,870
136,RubbleV3,5.30,Ekko,14.34,Cosmic,19.73,Gundam,8.79,0.0,0.00,Titan,7.64,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,54.04624277456648,1153
137,SOPESGAL,1.17,Ekko,14.34,Classic,17.86,Cybernetic,19.64,0.0,0.00,Primal,4.13,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,54.99357739242132,1318
138,SOPESGAL V2,1.35,Gundam,5.57,Gundam,4.42,Military,19.19,0.0,0.00,Formic,4.08,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,38.59987154784842,55
139,Wires,11.84,Brawler Yukon,13.69,Cosmic,19.73,Thicc,20.43,0.0,0.00,Titan,7.64,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.1689145793192,3378
140,SOPESGAL,1.17,Cyber,13.60,Tron,13.62,Thicc,20.43,0.0,0.00,Primal,4.13,Avaxium,20.09,Angel,48.55,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,56.053307642903015,1489
141,Wires,11.84,Panther,2.01,Nexus,18.26,Frost,16.35,0.0,0.00,DonnieDarko,3.97,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,51.86255619781631,837
142,Wiresv2,11.77,Jaeger,14.50,Cosmic,19.73,Gundam,8.79,0.0,0.00,Kroxa,4.15,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.92485549132948,1464
143,Wires,11.84,Jaeger,14.50,Gundam,4.42,Cybernetic,19.64,0.0,0.00,Drone,6.76,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,54.65639049454079,1241
144,Bar,5.46,Mirakle,14.16,Cosmic,19.73,Thicc,20.43,0.0,0.00,Gundam,2.16,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.4136159280668,1950
145,LabV2,5.86,Ronin,14.70,Nexus,18.26,Military,19.19,0.0,0.00,Foxtrot,3.18,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.108542068079636,1879
146,Wiresv2,11.77,Cyber,13.60,Classic,17.86,Cybernetic,19.64,Cyber Axe,11.88,Lord,2.91,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,64.0655105973025,3069
147,Energy,5.30,Molten,2.01,Classic,17.86,Military,19.19,0.0,0.00,DonnieDarkoV2,1.26,Hopium,19.73,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,52.84200385356455,998
148,Barren,5.39,Mirakle,14.16,Frost,8.21,Frost,16.35,0.0,0.00,Ser,9.22,Aqium,19.59,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.124598587026334,1884
149,RubbleV3,5.30,Gundam,5.57,Frost,8.21,Cybernetic,19.64,0.0,0.00,Toonami,9.22,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,48.44251766217084,475
150,RubbleV2,5.35,Ekko,14.34,OrbitalV2,4.85,Military,19.19,0.0,0.00,Moonbag,2.66,Kushium,20.41,Fallen Angel,51.45,Void,9.71,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.234425176621706,1359
151,Barren,5.39,Ekko,14.34,Tron,13.62,Frost,16.35,Ekko Spear,14.07,Biker,4.13,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,55.82851637764933,1444
152,TrippyHippy,5.37,Brawler Yukon,13.69,Orbital,7.89,Military,19.19,Brawler Yukon Sword,13.30,Drone,6.76,Aqium,19.59,0.0,0.00,Telekinetic,17.07,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.59730250481695,2402
153,RubbleV2,5.35,Cyber,13.60,Nexus,18.26,Thicc,20.43,0.0,0.00,Kroxa,4.15,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,57.947976878612714,1853
154,Wires,11.84,Ekko,14.34,Cosmic,19.73,Military,19.19,Ekko Spear,14.07,Spartan,20.90,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,78.74116891457932,4369
155,Alley,5.07,Brawler Yukon,13.69,Classic,17.86,Frost,16.35,0.0,0.00,Gundam,2.16,Treenium,20.09,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.874759152215795,2252
156,Sunset,5.64,Ekko,14.34,Gundam,4.42,Gundam,8.79,0.0,0.00,Moonbag,2.66,Aqium,19.59,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,45.95375722543353,275
157,Energy,5.30,Ekko,14.34,Nexus,18.26,Frost,16.35,0.0,0.00,Moonbag,2.66,Aqium,19.59,0.0,0.00,Astral,18.09,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.78998073217726,2434
